X,Y,OBJECTID,SCHOOL_NAME,SCHOOL_TYPE,TYPE_DESC,GRADES,ADDRESS,CITY,ZIP,WEB_ADDRESS,PHONE,REGION,SCH_YR,CreationDate,Creator,EditDate,Editor
-77.264810598451,38.9466317649954,3990,COLVIN RUN,ES,Elementary School,K-6,1400 TRAP RD,VIENNA,22182,https://colvinrunes.fcps.edu/,7037573000,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.4045884272331,38.9463751301116,3991,MCNAIR,ES,Elementary School,K-2,2499 THOMAS JEFFERSON DR,HERNDON,20171,https://mcnaires.fcps.edu/,7037934800,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.4191932903693,38.9520856051523,3992,COATES,ES,Elementary School,K-6,2480 RIVER BIRCH RD,HERNDON,20171,https://coateses.fcps.edu/,7037133000,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.1746119310306,38.9353402365019,3993,FRANKLIN SHERMAN,ES,Elementary School,K-6,6633 BRAWNER ST,MCLEAN,22101,https://franklinshermanes.fcps.edu/,7035067900,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.228440973071,38.9394067360196,3994,SPRING HILL,ES,Elementary School,K-6,8201 LEWINSVILLE RD,MCLEAN,22102,https://springhilles.fcps.edu/,7035063400,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.3202214852457,38.9402710496429,3995,SUNRISE VALLEY,ES,Elementary School,K-6,10824 CROSS SCHOOL RD,RESTON,20191,https://sunrisevalleyes.fcps.edu/,7037153800,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.3429757926263,38.9367391154123,3996,TERRASET,ES,Elementary School,K-6,11411 RIDGE HEIGHTS RD,RESTON,20191,https://terrasetes.fcps.edu/,7033905600,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.3614994004498,38.9322275756603,3997,HUNTERS WOODS,ES,Elementary School,K-6,2401 COLTS NECK RD,RESTON,20191,https://hunterswoodses.fcps.edu/,7032627400,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.3710324118935,38.9427106791701,3998,DOGWOOD,ES,Elementary School,K-6,12300 GLADE DR,RESTON,20191,https://dogwoodes.fcps.edu/,7032623100,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.4143931786717,38.9356907789072,3999,FLORIS,ES,Elementary School,K-6,2708 CENTREVILLE RD,HERNDON,20171,https://florises.fcps.edu/,7035612900,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.1554261516233,38.9186463420948,4000,CHESTERBROOK,ES,Elementary School,K-6,1753 KIRBY RD,MCLEAN,22101,https://chesterbrookes.fcps.edu/,7037148200,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.1753473851181,38.9214337466257,4001,KENT GARDENS,ES,Elementary School,K-6,1717 MELBOURNE DR,MCLEAN,22101,https://kentgardenses.fcps.edu/,7033945600,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.2922299346547,39.0015003228284,4002,GREAT FALLS,ES,Elementary School,K-6,701 WALKER RD,GREAT FALLS,22066,https://greatfallses.fcps.edu/,7037572100,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.3283013375431,38.9935707661698,4003,FORESTVILLE,ES,Elementary School,K-6,1085 UTTERBACK STORE RD,GREAT FALLS,22066,https://forestvillees.fcps.edu/,7034046000,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.3872712723171,38.9964554189877,4052,DRANESVILLE,ES,Elementary School,K-6,1515 POWELLS TAVERN PL,HERNDON,20170,https://dranesvillees.fcps.edu/,7033265200,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.3379650653327,38.9797555253497,4053,ALDRIN,ES,Elementary School,K-6,11375 CENTER HARBOR RD,RESTON,20194,https://aldrines.fcps.edu/,7039043800,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.3583447166987,38.9802097311778,4054,ARMSTRONG,ES,Elementary School,K-6,11900 LAKE NEWPORT RD,RESTON,20194,https://armstronges.fcps.edu/,7033754800,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.1952227458579,38.9039695452768,4055,LEMON ROAD,ES,Elementary School,K-6,7230 IDYLWOOD RD,FALLS CHURCH,22043,https://lemonroades.fcps.edu/,7037146400,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.2296010986564,38.9113289079096,4056,FREEDOM HILL,ES,Elementary School,K-6,1945 LORD FAIRFAX RD,VIENNA,22182,https://freedomhilles.fcps.edu/,7035067800,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.4088374943327,38.9131104564052,4057,OAK HILL,ES,Elementary School,K-6,3210 KINROSS CIR,HERNDON,20171,https://oakhilles.fcps.edu/,7034673500,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.3767863516461,38.9759213821679,4058,HERNDON,ES,Elementary School,K-6,630 DRANESVILLE RD,HERNDON,20170,https://herndones.fcps.edu/,7033263100,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.391213163611,38.9837001653079,4059,CLEARVIEW,ES,Elementary School,K-6,12635 BUILDERS RD,HERNDON,20170,https://clearviewes.fcps.edu/,7037086000,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.3295499137997,38.9688521611073,4060,FOREST EDGE,ES,Elementary School,K-6,1501 BECONTREE LN,RESTON,20190,https://forestedgees.fcps.edu/,7039258000,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.406913768588,38.9612876003889,4061,HUTCHISON,ES,Elementary School,K-6,13209 PARCHER AVE,HERNDON,20170,https://hutchisones.fcps.edu/,7039258300,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.1834348889469,38.8626578833917,4062,WESTLAWN,ES,Elementary School,K-6,3200 WESTLEY RD,FALLS CHURCH,22042,https://westlawnes.fcps.edu/,7032415100,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.2087490345637,38.870716215019,4063,PINE SPRING,ES,Elementary School,K-6,7607 WILLOW LN,FALLS CHURCH,22042,https://pinespringes.fcps.edu/,5712264400,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.2479493025868,38.8697789683497,4064,FAIRHILL,ES,Elementary School,K-6,3001 CHICHESTER LN,FAIRFAX,22031,https://fairhilles.fcps.edu/,7032088100,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.2779608994305,38.8985457569566,4065,LOUISE ARCHER,ES,Elementary School,K-6,324 NUTLEY ST NW,VIENNA,22180,https://archeres.fcps.edu/,7039376200,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.3789088629837,38.8892540838116,4066,NAVY,ES,Elementary School,K-6,3500 WEST OX RD,FAIRFAX,22033,https://navyes.fcps.edu/,7032627100,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.4110162097047,38.890364081516,4067,LEES CORNER,ES,Elementary School,K-6,13500 HOLLINGER AVE,FAIRFAX,22033,https://leescorneres.fcps.edu/,7032273500,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.2059161748796,38.8887827328706,4068,SHREVEWOOD,ES,Elementary School,K-6,7525 SHREVE RD,FALLS CHURCH,22043,https://shrevewoodes.fcps.edu/,7036456600,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.1979459190636,38.8797692947546,4069,TIMBER LANE,ES,Elementary School,K-6,2737 WEST ST,FALLS CHURCH,22046,https://timberlanees.fcps.edu/,7032065300,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.1908090839099,38.8765411656249,4070,GRAHAM ROAD,ES,Elementary School,K-6,2831 GRAHAM RD,FALLS CHURCH,22042,https://grahamroades.fcps.edu/,5712262700,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.22950319053,38.8846924140451,4071,STENWOOD,ES,Elementary School,K-6,2620 GALLOWS RD,VIENNA,22180,https://stenwoodes.fcps.edu/,7032087600,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.245618866707,38.9211266661727,4072,WESTBRIAR,ES,Elementary School,K-6,1741 PINE VALLEY DR,VIENNA,22182,https://westbriares.fcps.edu/,7039371700,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.2665351173363,38.9176458687567,4073,WOLFTRAP,ES,Elementary School,K-6,1903 BEULAH RD,VIENNA,22182,https://wolftrapes.fcps.edu/,7033197300,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.3822713015142,38.9280364878524,4074,FOX MILL,ES,Elementary School,K-6,2611 VIKING DR,HERNDON,20171,https://foxmilles.fcps.edu/,7032622700,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.1655272340129,38.8198138640294,4075,WEYANOKE,ES,Elementary School,K-5,6520 BRADDOCK RD,ALEXANDRIA,22312,https://weyanokees.fcps.edu/,7038135400,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.1761793851913,38.8291678206038,4076,COLUMBIA,ES,Elementary School,K-6,6720 ALPINE DR,ANNANDALE,22003,https://columbiaes.fcps.edu/,7039162500,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
